TotalFinishedArea,LivingUnits,TotalAppraisedValue,SaleYear,SaleMonth,PriceRatio,AssrLandUse_APT FOUR,AssrLandUse_CONDOMINIMUM,AssrLandUse_MULTI DWLG,AssrLandUse_ONE FAMILY,AssrLandUse_THREE FAMILY,AssrLandUse_TWO FAMILY
850.0,1.0,60200,2022,9,1.2292358803986712,False,False,False,True,False,False
850.0,1.0,65900,2022,9,1.1229135053110777,False,False,False,True,False,False
850.0,1.0,80800,2021,9,0.556930693069307,False,False,False,True,False,False
1160.0,1.0,171400,2023,9,1.0501750291715286,False,False,False,True,False,False
1500.0,1.0,207900,2023,6,1.3997113997113997,False,False,False,True,False,False
3253.25,3.0,243700,2022,7,1.436192039392696,False,False,False,False,True,False
2877.875,3.0,168200,2021,2,0.8174791914387634,False,False,False,False,True,False
2450.0,2.0,278000,2023,3,1.2949640287769784,False,False,False,False,False,True
1120.00001,1.0,162600,2024,5,1.3001230012300122,False,False,False,True,False,False
1075.20001,1.0,172500,2022,5,1.2173913043478262,False,False,False,True,False,False
1075.20001,1.0,172500,2023,12,1.3333333333333333,False,False,False,True,False,False
4699.5,3.0,303900,2022,9,1.293188548864758,False,False,False,False,True,False
3502.5,3.0,248600,2022,4,1.3073209975864843,False,False,False,False,True,False
1075.20001,1.0,169800,2021,5,1.0306242638398115,False,False,False,True,False,False
2900.0,4.0,229400,2021,4,1.046207497820401,True,False,False,False,False,False
1560.0,1.0,249900,2022,1,1.080032012805122,False,False,False,True,False,False
1134.0,1.0,124000,2021,11,0.8064516129032258,False,False,False,True,False,False
1015.0,1.0,144700,2020,12,0.9260539046302696,False,False,False,True,False,False
4032.0,3.0,262600,2022,2,1.2185833968012183,False,False,False,False,True,False
3624.0,3.0,212500,2021,10,0.7058823529411765,False,False,False,False,True,False
3456.0,3.0,274500,2023,6,1.04735883424408,False,False,False,False,True,False
3456.0,3.0,274500,2022,5,0.9508196721311476,False,False,False,False,True,False
4076.0,4.0,244400,2023,6,1.1763502454991817,True,False,False,False,False,False
4076.0,4.0,244400,2022,4,1.227495908346972,True,False,False,False,False,False
1041.60001,1.0,202800,2020,12,1.0601577909270217,False,False,False,True,False,False
1116.0,1.0,160800,2021,5,1.212686567164179,False,False,False,True,False,False
1041.60001,1.0,179300,2021,12,1.28276631344116,False,False,False,True,False,False
1041.60001,1.0,179300,2021,8,0.7250418293363079,False,False,False,True,False,False
1140.20001,1.0,167500,2021,5,0.9313432835820896,False,False,False,True,False,False
1140.20001,1.0,167500,2021,4,0.8955223880597015,False,False,False,True,False,False
1252.60001,1.0,196800,2021,8,1.16869918699187,False,False,False,True,False,False
1015.0,1.0,140400,2021,7,1.0754985754985755,False,False,False,True,False,False
1512.0,1.0,173900,2022,3,1.2702702702702702,False,False,False,True,False,False
1074.50001,1.0,160000,2021,9,0.78125,False,False,False,True,False,False
1079.0,1.0,187900,2021,8,1.0377860564129855,False,False,False,True,False,False
2235.0,2.0,150300,2022,10,1.3306719893546242,False,False,False,False,False,True
1986.0,1.0,211700,2022,12,1.1100614076523383,False,False,False,True,False,False
1986.0,1.0,211700,2023,11,1.34624468587624,False,False,False,True,False,False
1416.0,1.0,191300,2023,12,0.9409304756926292,False,False,False,True,False,False
1416.0,1.0,191300,2024,5,1.4375326711970726,False,False,False,True,False,False
1711.20001,1.0,166900,2021,5,0.6590772917914919,False,False,False,True,False,False
988.0,1.0,186600,2021,3,1.0182207931404073,False,False,False,True,False,False
3354.0,3.0,260000,2022,1,1.1538461538461535,False,False,False,False,True,False
1015.0,1.0,157500,2021,3,0.9650793650793652,False,False,False,True,False,False
1015.0,1.0,163100,2021,11,0.947271612507664,False,False,False,True,False,False
1000.0,1.0,177400,2022,6,1.2401352874859075,False,False,False,True,False,False
1029.0,1.0,167000,2022,3,1.1676646706586826,False,False,False,True,False,False
1022.0,1.0,172200,2022,6,1.1672473867595818,False,False,False,True,False,False
1142.0,1.0,166100,2024,1,1.4804334738109572,False,False,False,True,False,False
1460.0,1.0,185600,2022,9,1.3469827586206895,False,False,False,True,False,False
1030.0,1.0,165000,2021,11,1.1242424242424245,False,False,False,True,False,False
1260.0,1.0,177400,2023,3,1.2852311161217589,False,False,False,True,False,False
1364.80001,1.0,167000,2021,4,1.1676646706586826,False,False,False,True,False,False
